trace,label,cause,evelabel
"Participant (A) , ConversationLink , Communication (C) , ConversationLink , Participant (B)",normal,,[0 0 0 0 0]
"create request for vendor master records , staple request to invoice , place in outbox for requesting master record creation",normal,,[0 0 0]
"Setup world , draw overlord cards , draw hero card , Buy equipment , Equip items , choose starting point",normal,,[0 0 0 0 0 0]
"generate vendor master record request form , staple form to invoice , place form to invoice",normal,,[0 0 0]
"authenticate new account , recognise new account , verify account",normal,,[0 0 0]
"select create new account , select billing address country , review ts cs , enter id detail fields , enter payment detail fields , enter gift card certificate code , enter select billing address fields , verify account , enter email password to verify address",normal,,[0 0 0 0 0 0 0 0 0]
"select create new account , select billing address country , review ts cs , enter id detail fields , enter payment detail fields , enter select billing address fields , verify account , enter email password to verify address",normal,,[0 0 0 0 0 0 0 0]
"select create new account , select billing address country , review ts cs",normal,,[0 0 0]
"ask the client to confirm the invoice that can be paid , ask the client to add the relevant cost centre , open the envelopes , categorize the envelopes , forward the invoices to admin offices",normal,,[0 0 0 0 0]
"Discovering , Gathering",normal,,[0 0]
"Discovering , Gathering , Exploiting , Mending , Adjusting , Discovering , Gathering",normal,,[0 0 0 0 0 0 0]
"release material transfer orders , communicate material transfer to requisitioner",normal,,[0 0]
"receives application for booking , validates students identity , checks vacancy of guest rooms , approves application , send approval mail to hall manager and student",normal,,[0 0 0 0 0]
"receives application for booking , send approval mail to hall manager and student",normal,,[0 0]
"ask for customer details , post literature on price availability and model details",normal,,[0 0]
"Login , redirected to homepage , click create event , enter information about event , save",normal,,[0 0 0 0 0]
"check software , configure software , test software , configure software , test software",normal,,[0 0 0 0 0]
"check software , configure software , test software",normal,,[0 0 0]
"check if payment received , Validate Supplies , Consolidate Orders , Orders Supplies",normal,,[0 0 0 0]
"emit invoice to customer by email , automatic debit invoice , notify customer about failed debiting , automatic debit invoice , charge late fee , suspend internet service until payment received , close account , apply disconnection fee , Debt recovery process",normal,,[0 0 0 0 0 0 0 0 0]
"emit invoice to customer by email , automatic debit invoice , charge late fee , suspend internet service until payment received , close account , apply disconnection fee , Debt recovery process",normal,,[0 0 0 0 0 0 0]
"emit invoice to customer by email , automatic debit invoice",normal,,[0 0]
"emit invoice to customer by email , automatic debit invoice , notify customer about failed debiting , automatic debit invoice",normal,,[0 0 0 0]
"fill in procurement form , get quote from vendor",normal,,[0 0]
"verify seller identity , tell ebay how to pay seller fees , select payment methods from buyers",normal,,[0 0 0]
"Identify Vacancy , Obtain Additional Position Information , Obtain Approval to Commence Recruitment , Facilitate Recruitment Activities , Obtain Approval to Recruit Preferred Applicant , Appoint Preferred Applicant",normal,,[0 0 0 0 0 0]
"choose the correct certification , prepares the certificate",normal,,[0 0]
"request certification , check form data",normal,,[0 0]
"choose the correct certification , compile the form",normal,,[0 0]
"request certification , compile and sign the documents",normal,,[0 0]
"check availability , receive info",normal,,[0 0]
"analyze insurance agreement , offer immediate help , do integral accounting",normal,,[0 0 0]
"analyze insurance agreement , send out offer for emergency help",normal,,[0 0]
"analyze insurance agreement , offer immediate help , ask for rejection notification",normal,,[0 0 0]
"verify issue , reply level with soloution to inform customer",normal,,[0 0]
"verify issue , create issue log for software development",normal,,[0 0]
"customer support look at most common solution to the issue , resolved",normal,,[0 0]
"customer support look at most common solution to the issue , resolved , customer support ask more questions related to issue",normal,,[0 0 0]
"customer support look at most common solution to the issue , customer support ask more questions related to issue , send email to qc and inform costomer",normal,,[0 0 0]
"customer support look at most common solution to the issue , customer support ask more questions related to issue",normal,,[0 0]
"customer support look at most common solution to the issue , resolved , customer support ask more questions related to issue , transfer call to level",normal,,[0 0 0 0]
"request certification , compile and sign the documents",normal,,[0 0]
"choose the correct certification , prepares the certificate",normal,,[0 0]
